Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,PF,21,MIA,19,2,15.9,3.0,4.7,.640,0.0,0.0,0,3.0,4.7,.640,.640,1.5,2.8,.547,1.7,3.1,4.8,0.8,0.4,0.6,1.2,2.2,7.5
Jaylen Adams,PG,24,MIL,1,0,1.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,0,.000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steven Adams,C,27,NOP,18,18,30.3,3.7,6.3,.593,0.0,0.1,.000,3.7,6.2,.598,.593,1.1,2.3,.488,4.2,5.6,9.8,2.5,0.9,0.6,2.0,1.9,8.6
Bam Adebayo,C,23,MIA,17,17,32.8,7.3,12.5,.582,0.1,0.3,.400,7.2,12.2,.587,.587,5.2,6.1,.864,1.8,7.6,9.4,5.5,0.8,0.8,3.2,2.4,19.9
LaMarcus Aldridge,C,35,SAS,17,17,27.2,6.0,12.8,.470,1.3,3.7,.349,4.7,9.1,.519,.521,0.9,1.2,.762,0.9,3.6,4.5,2.1,0.4,0.9,0.9,1.6,14.2
Ty-Shon Alexander,SG,22,PHO,3,0,2.7,0.0,1.0,.000,0.0,0.3,.000,0.0,0.7,.000,.000,0.0,0.0,0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.0
Nickeil Alexander-Walker,SG,22,NOP,16,3,21.6,4.0,9.6,.418,1.3,4.4,.286,2.8,5.2,.530,.484,1.4,1.8,.759,0.3,2.9,3.2,2.1,1.2,0.4,1.4,1.9,10.6
Grayson Allen,SG,25,MEM,12,4,21.5,2.3,6.0,.375,1.5,4.2,.360,0.8,1.8,.409,.500,2.0,2.3,.889,0.5,2.4,2.9,2.0,1.0,0.3,1.2,0.8,8.0
Jarrett Allen,C,22,TOT,18,5,26.2,4.1,6.1,.679,0.0,0.0,0,4.1,6.1,.679,.679,3.3,4.3,.779,3.0,6.1,9.1,1.5,0.6,1.6,1.6,1.7,11.6
Jarrett Allen,C,22,BRK,12,5,26.7,3.7,5.4,.677,0.0,0.0,0,3.7,5.4,.677,.677,3.8,5.1,.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2
Jarrett Allen,C,22,CLE,6,0,25.2,5.0,7.3,.682,0.0,0.0,0,5.0,7.3,.682,.682,2.3,2.7,.875,2.7,3.8,6.5,1.2,0.5,1.7,1.2,1.7,12.3
Kyle Anderson,PF,27,MEM,14,14,29.1,4.7,10.8,.437,1.5,4.2,.356,3.2,6.6,.489,.507,1.9,2.4,.788,0.9,6.1,7.1,3.9,0.8,0.7,1.9,2.1,12.8
Giannis Antetokounmpo,PF,26,MIL,18,18,33.4,10.2,18.5,.553,1.3,4.6,.280,8.9,13.9,.641,.587,6.1,10.3,.591,1.8,9.6,11.4,5.7,1.1,1.1,3.9,3.3,27.8
Kostas Antetokounmpo,PF,23,LAL,1,0,8.0,0.0,2.0,.000,0.0,0.0,0,0.0,2.0,.000,.000,0.0,0.0,0,0.0,4.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0
Thanasis Antetokounmpo,SF,28,MIL,13,0,10.0,1.2,1.8,.652,0.2,0.5,.286,1.0,1.2,.813,.696,0.2,0.2,.667,0.9,1.0,1.9,0.9,0.2,0.2,1.0,1.8,2.6
Carmelo Anthony,PF,36,POR,17,2,25.9,4.0,10.8,.370,1.5,4.4,.347,2.5,6.4,.385,.440,2.4,2.8,.851,0.4,3.3,3.6,1.2,0.9,0.7,0.8,2.0,11.9
Cole Anthony,PG,20,ORL,20,12,26.4,3.8,10.7,.355,1.1,3.5,.319,2.7,7.3,.372,.407,1.9,2.2,.860,0.8,3.6,4.4,3.6,0.6,0.5,1.9,2.2,10.6
OG Anunoby,SF,23,TOR,17,17,34.8,5.1,10.4,.486,2.5,5.7,.433,2.6,4.7,.550,.605,2.1,2.8,.745,1.6,4.2,5.8,1.6,2.1,0.5,1.8,2.9,14.6
Ryan Arcidiacono,PG,26,CHI,5,0,13.0,1.6,4.0,.400,1.2,2.6,.462,0.4,1.4,.286,.550,0.8,1.0,.800,0.0,2.4,2.4,2.4,0.4,0.0,0.4,1.4,5.2
D.J. Augustin,PG,33,MIL,18,0,16.8,1.7,4.8,.356,1.2,2.9,.396,0.6,1.9,.294,.477,0.9,0.9,1.000,0.4,0.7,1.2,2.4,0.4,0.0,0.8,0.4,5.5
Deni Avdija,SF,20,WAS,11,11,23.2,2.5,5.6,.452,1.5,3.2,.457,1.1,2.5,.444,.581,0.5,0.7,.625,0.4,3.6,4.0,2.2,1.0,0.3,0.6,2.6,7.0
Deandre Ayton,C,22,PHO,18,18,31.9,6.2,10.7,.578,0.1,0.6,.200,6.1,10.1,.599,.583,2.0,2.8,.720,3.6,9.1,12.6,2.0,0.4,1.1,2.1,3.3,14.4
Udoka Azubuike,C,21,UTA,12,0,4.1,0.3,0.6,.571,0.0,0.0,0,0.3,0.6,.571,.571,0.3,0.5,.667,0.3,0.8,1.1,0.0,0.1,0.3,0.3,0.7,1.0
